state,route_name,route_link,bus_name,bus_type,departing_time,duration,arrival_time,star_rating,fare_price,seat_availablity
Chandigarh,Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Om Sidh Express,Volvo A/C (2+2),11:55 PM,01h 35m,01:30 AM,3.4,680.0,18
Chandigarh,Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Vijay Tour and Travels,Volvo 9600 A/C Sleeper (2+1),11:30 PM,02h 30m,02:00 AM,3.4,849.0,25
Chandigarh,Chandigarh to Ludhiana,https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana,Jujhar Travels,Mercedes A/C Seater (2+2),03:00 PM,02h 15m,05:15 PM,3.4,300.0,36
Chandigarh,Chandigarh to Ludhiana,https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),03:50 PM,02h 15m,06:05 PM,4.2,300.0,28
Chandigarh,Chandigarh to Ludhiana,https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),04:20 PM,02h 10m,06:30 PM,3.8,300.0,41
Chandigarh,Chandigarh to Ludhiana,https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana,Jujhar Travels,Volvo A/C Semi Sleeper (2+2),05:10 PM,01h 55m,07:05 PM,4.0,300.0,41
Chandigarh,Chandigarh to Pathankot,https://www.redbus.in/bus-tickets/chandigarh-to-pathankot,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),04:00 PM,04h 40m,08:40 PM,3.2,788.0,37
Chandigarh,Chandigarh to Pathankot,https://www.redbus.in/bus-tickets/chandigarh-to-pathankot,Jamna Travels-Jammu,AshokLeyland Stile A/C,08:30 PM,05h 00m,01:30 AM,3.1,522.0,13
Chandigarh,Chandigarh to Pathankot,https://www.redbus.in/bus-tickets/chandigarh-to-pathankot,AdAwadh Travels,A/C Sleeper (2+2),09:30 PM,04h 30m,02:00 AM,3.4,494.0,33
Chandigarh,Chandigarh to Pathankot,https://www.redbus.in/bus-tickets/chandigarh-to-pathankot,Baru travels,A/C Seater / Sleeper (2+2),08:45 PM,05h 15m,02:00 AM,4.1,584.0,23
